country,arrivals
ALB,1549
ISL,1437
DMA,1366
MKD,1332
ETH,1201
TTO,1158
MDA,1083
BOL,1050
SSD,972
MOZ,956
PAN,947
CUB,856
GMB,844
CMR,844
GTM,827
TCD,770
MRT,744
SLE,739
JAM,717
DOM,712
