country,arrivals
ZAF,45266
YEM,43725
MUS,41679
OMN,39478
KAZ,39276
UZB,36853
UKR,36714
BRA,35881
IRQ,34226
AUT,33865
SDN,30589
NOR,30007
MAR,28552
FIN,28014
PRT,27939
HKG,27640
ROU,25980
CZE,25563
JOR,24557
KWT,22762
