country,arrivals
MHL,111
MCO,103
NRU,102
COG,96
NER,90
CPV,84
SMR,81
VCT,75
GNQ,62
PLW,57
STP,48
VAT,34
FSM,29
GNB,26
ZAR,23
ISR,16
TUV,14
CAF,13
IOT,10
PRK,9
