country,arrivals
CIV,685
MWI,662
NAM,616
SUR,616
HND,615
ATG,578
SWZ,567
MNE,564
COM,547
ERI,538
GRD,525
SLV,519
BWA,518
LCA,478
PRY,463
SLB,459
DJI,438
COD,430
TON,424
MLI,331
