country,arrivals
MEX,22342
DZA,22332
HUN,21586
SYR,20529
TUN,18392
MNG,16414
ARG,16051
NGA,15552
ARE,15461
XXX,14334
LTU,14268
SVK,14033
KEN,13558
LBY,11524
BLR,11138
PSE,10249
BGR,9556
GRC,9507
KGZ,8974
CHL,8897
