country,arrivals
SGS,7
ATA,6
AIA,4
BMU,4
GRL,4
CCK,3
TCA,3
MNP,3
MYT,2
NCL,2
GIB,2
ABW,2
ANT,2
REU,2
SHN,2
TKL,2
COK,1
BVT,1
HMD,1
GLP,1
