country,arrivals
VEN,2871
URY,2769
AFG,2750
SYC,2595
GHA,2582
PNG,2519
CYP,2345
KNA,2330
ECU,2318
CRI,2269
ZMB,2169
MDG,2161
ARM,2158
BIH,2041
GEO,1936
LUX,1870
MLT,1829
SEN,1799
GIN,1748
BTN,1730
