country,arrivals
BEN,319
RWA,297
LBR,288
GAB,287
BLZ,277
TGO,262
NIC,243
LIE,241
HTI,240
BHS,240
BRB,231
BFA,209
GUY,197
AND,194
LSO,174
AGO,169
BDI,157
MAC,132
KIR,116
WSM,113
