country,arrivals
SGP,34496707
IDN,8477856
THA,5647418
CHN,4008013
BRN,2588744
IND,2345086
BGD,1165402
PHL,1147669
KOR,1057434
AUS,889069
VNM,878361
GBR,780219
JPN,739722
TWN,639102
USA,607643
NPL,449691
MMR,360931
PAK,355369
DEU,339408
FRA,335976
