year,country,soe,arrivals,arrivals_male,arrivals_female
2021,ARG,Pulau Pinang,0,0,0
2021,ARG,Sabah,0,0,0
2021,ARG,Sarawak,0,0,0
2021,ARG,Selangor,95,57,38
2021,ARG,W.P. Labuan,0,0,0
2021,ARM,Johor,0,0,0
2021,ARM,Kedah,0,0,0
2021,ARM,Kelantan,0,0,0
2021,ARM,Perak,0,0,0
2021,ARM,Perlis,0,0,0
2021,ARM,Pulau Pinang,1,0,1
2021,ARM,Sabah,0,0,0
2021,ARM,Sarawak,0,0,0
2021,ARM,Selangor,7,3,4
2021,ATA,Selangor,0,0,0
2021,ATG,Johor,0,0,0
2021,ATG,Kedah,0,0,0
2021,ATG,Pulau Pinang,0,0,0
2021,ATG,Sarawak,0,0,0
2021,ATG,Selangor,2,1,1
2021,AUS,Johor,22,15,7
2021,AUS,Kedah,23,13,10
2021,AUS,Kelantan,0,0,0
2021,AUS,Melaka,0,0,0
2021,AUS,Negeri Sembilan,0,0,0
2021,AUS,Pahang,0,0,0
2021,AUS,Perak,4,3,1
2021,AUS,Perlis,0,0,0
2021,AUS,Pulau Pinang,83,45,38
2021,AUS,Sabah,8,6,2
2021,AUS,Sarawak,13,11,2
2021,AUS,Selangor,1747,1141,606
2021,AUS,Terengganu,0,0,0
2021,AUS,W.P. Labuan,0,0,0
2021,AUT,Johor,0,0,0
2021,AUT,Kedah,0,0,0
2021,AUT,Kelantan,1,1,0
2021,AUT,Melaka,0,0,0
2021,AUT,Negeri Sembilan,0,0,0
2021,AUT,Pahang,0,0,0
2021,AUT,Perak,0,0,0
2021,AUT,Perlis,0,0,0
2021,AUT,Pulau Pinang,4,1,3
2021,AUT,Sabah,0,0,0
2021,AUT,Sarawak,4,4,0
2021,AUT,Selangor,218,174,44
2021,AUT,Terengganu,0,0,0
2021,AUT,W.P. Labuan,0,0,0
2021,AZE,Johor,0,0,0
2021,AZE,Kedah,0,0,0
2021,AZE,Kelantan,0,0,0
2021,AZE,Melaka,0,0,0
2021,AZE,Perlis,0,0,0
2021,AZE,Pulau Pinang,0,0,0
2021,AZE,Sabah,0,0,0
2021,AZE,Sarawak,0,0,0
2021,AZE,Selangor,43,26,17
2021,AZE,W.P. Labuan,0,0,0
2021,BDI,Pulau Pinang,0,0,0
2021,BDI,Sarawak,0,0,0
2021,BDI,Selangor,12,5,7
2021,BEL,Johor,1,1,0
2021,BEL,Kedah,1,1,0
2021,BEL,Kelantan,0,0,0
2021,BEL,Melaka,0,0,0
2021,BEL,Negeri Sembilan,0,0,0
2021,BEL,Pahang,0,0,0
2021,BEL,Perak,0,0,0
2021,BEL,Perlis,0,0,0
2021,BEL,Pulau Pinang,9,6,3
2021,BEL,Sabah,0,0,0
2021,BEL,Sarawak,2,2,0
2021,BEL,Selangor,237,173,64
2021,BEL,W.P. Labuan,0,0,0
2021,BEN,Johor,0,0,0
2021,BEN,Kedah,0,0,0
2021,BEN,Perak,0,0,0
2021,BEN,Pulau Pinang,0,0,0
2021,BEN,Sabah,0,0,0
2021,BEN,Sarawak,0,0,0
2021,BEN,Selangor,2,2,0
2021,BFA,Perak,0,0,0
2021,BFA,Pulau Pinang,0,0,0
2021,BFA,Selangor,2,1,1
2021,BGD,Johor,39,36,3
2021,BGD,Kedah,0,0,0
2021,BGD,Kelantan,0,0,0
2021,BGD,Melaka,0,0,0
2021,BGD,Negeri Sembilan,0,0,0
2021,BGD,Pahang,0,0,0
2021,BGD,Perak,0,0,0
2021,BGD,Perlis,0,0,0
2021,BGD,Pulau Pinang,3,3,0
2021,BGD,Sabah,0,0,0
2021,BGD,Sarawak,2,2,0
2021,BGD,Selangor,8017,7226,791
2021,BGD,W.P. Labuan,0,0,0
2021,BGR,Johor,0,0,0
2021,BGR,Kedah,0,0,0
2021,BGR,Kelantan,0,0,0
2021,BGR,Pahang,0,0,0
2021,BGR,Perak,0,0,0
2021,BGR,Perlis,0,0,0
2021,BGR,Pulau Pinang,0,0,0
2021,BGR,Sabah,0,0,0
2021,BGR,Sarawak,0,0,0
2021,BGR,Selangor,147,135,12
2021,BGR,W.P. Labuan,0,0,0
2021,BHR,Johor,0,0,0
2021,BHR,Kedah,0,0,0
2021,BHR,Kelantan,0,0,0
2021,BHR,Perlis,0,0,0
2021,BHR,Pulau Pinang,0,0,0
2021,BHR,Sabah,0,0,0
2021,BHR,Sarawak,0,0,0
2021,BHR,Selangor,27,17,10
2021,BHS,Johor,0,0,0
2021,BHS,Kedah,0,0,0
2021,BHS,Perak,0,0,0
2021,BHS,Sabah,0,0,0
2021,BHS,Sarawak,0,0,0
2021,BHS,Selangor,0,0,0
2021,BIH,Johor,0,0,0
2021,BIH,Kedah,0,0,0
2021,BIH,Perlis,0,0,0
2021,BIH,Pulau Pinang,0,0,0
2021,BIH,Sabah,0,0,0
2021,BIH,Sarawak,1,1,0
2021,BIH,Selangor,55,29,26
2021,BLR,Johor,0,0,0
2021,BLR,Kedah,0,0,0
2021,BLR,Kelantan,0,0,0
2021,BLR,Pahang,0,0,0
2021,BLR,Perak,0,0,0
2021,BLR,Perlis,0,0,0
2021,BLR,Pulau Pinang,0,0,0
2021,BLR,Sabah,0,0,0
2021,BLR,Sarawak,0,0,0
2021,BLR,Selangor,12,8,4
2021,BLR,W.P. Labuan,0,0,0
2021,BLZ,Johor,0,0,0
2021,BLZ,Pulau Pinang,0,0,0
2021,BLZ,Sarawak,0,0,0
2021,BLZ,Selangor,6,2,4
2021,BMU,Selangor,0,0,0
2021,BOL,Johor,0,0,0
2021,BOL,Kedah,0,0,0
2021,BOL,Melaka,0,0,0
2021,BOL,Perak,0,0,0
2021,BOL,Perlis,0,0,0
2021,BOL,Pulau Pinang,0,0,0
2021,BOL,Sabah,0,0,0
2021,BOL,Sarawak,0,0,0
2021,BOL,Selangor,2,1,1
2021,BRA,Johor,14,14,0
2021,BRA,Kedah,1,0,1
2021,BRA,Kelantan,0,0,0
2021,BRA,Melaka,0,0,0
2021,BRA,Pahang,0,0,0
2021,BRA,Perak,0,0,0
2021,BRA,Perlis,0,0,0
2021,BRA,Pulau Pinang,0,0,0
2021,BRA,Sabah,2,2,0
2021,BRA,Sarawak,3,2,1
2021,BRA,Selangor,284,185,99
2021,BRA,W.P. Labuan,0,0,0
2021,BRB,Johor,0,0,0
2021,BRB,Kedah,0,0,0
2021,BRB,Perlis,0,0,0
2021,BRB,Pulau Pinang,0,0,0
2021,BRB,Selangor,5,4,1
2021,BRN,Johor,2,1,1
2021,BRN,Kedah,2,2,0
2021,BRN,Kelantan,0,0,0
2021,BRN,Melaka,0,0,0
2021,BRN,Pahang,0,0,0
2021,BRN,Perak,0,0,0
2021,BRN,Perlis,0,0,0
2021,BRN,Pulau Pinang,0,0,0
2021,BRN,Sabah,0,0,0
2021,BRN,Sarawak,3822,3745,77
2021,BRN,Selangor,325,175,150
2021,BRN,W.P. Labuan,11,10,1
2021,BTN,Johor,0,0,0
2021,BTN,Kedah,0,0,0
2021,BTN,Perak,0,0,0
2021,BTN,Perlis,0,0,0
2021,BTN,Pulau Pinang,0,0,0
2021,BTN,Sabah,0,0,0
2021,BTN,Sarawak,0,0,0
2021,BTN,Selangor,17,13,4
2021,BWA,Johor,0,0,0
2021,BWA,Kedah,0,0,0
2021,BWA,Perlis,0,0,0
2021,BWA,Pulau Pinang,0,0,0
2021,BWA,Sabah,0,0,0
2021,BWA,Sarawak,0,0,0
2021,BWA,Selangor,9,6,3
2021,CAF,Kedah,0,0,0
2021,CAF,Selangor,2,2,0
2021,CAN,Johor,3,3,0
2021,CAN,Kedah,2,2,0
2021,CAN,Kelantan,0,0,0
2021,CAN,Melaka,0,0,0
2021,CAN,Negeri Sembilan,0,0,0
2021,CAN,Pahang,0,0,0
2021,CAN,Perak,0,0,0
2021,CAN,Perlis,0,0,0
2021,CAN,Pulau Pinang,9,4,5
2021,CAN,Sabah,0,0,0
2021,CAN,Sarawak,3,3,0
2021,CAN,Selangor,787,515,272
2021,CAN,Terengganu,0,0,0
2021,CAN,W.P. Labuan,0,0,0
2021,CCK,Selangor,0,0,0
2021,CHE,Johor,1,0,1
2021,CHE,Kedah,1,1,0
2021,CHE,Kelantan,0,0,0
2021,CHE,Melaka,0,0,0
2021,CHE,Negeri Sembilan,0,0,0
2021,CHE,Pahang,0,0,0
2021,CHE,Perak,0,0,0
2021,CHE,Perlis,0,0,0
2021,CHE,Pulau Pinang,16,7,9
2021,CHE,Sabah,0,0,0
2021,CHE,Sarawak,0,0,0
2021,CHE,Selangor,271,185,86
2021,CHE,W.P. Labuan,0,0,0
2021,CHL,Johor,0,0,0
2021,CHL,Kedah,0,0,0
2021,CHL,Kelantan,0,0,0
2021,CHL,Melaka,0,0,0
2021,CHL,Pahang,0,0,0
2021,CHL,Perak,0,0,0
2021,CHL,Perlis,0,0,0
2021,CHL,Pulau Pinang,0,0,0
2021,CHL,Sabah,1,1,0
2021,CHL,Sarawak,0,0,0
2021,CHL,Selangor,36,20,16
2021,CHN,Johor,302,270,32
2021,CHN,Kedah,8,5,3
2021,CHN,Kelantan,0,0,0
2021,CHN,Melaka,0,0,0
2021,CHN,Pahang,1,1,0
2021,CHN,Perak,0,0,0
2021,CHN,Perlis,0,0,0
2021,CHN,Pulau Pinang,55,29,26
2021,CHN,Sabah,21,15,6
2021,CHN,Sarawak,1205,1137,68
2021,CHN,Selangor,13963,10894,3069
2021,CHN,Terengganu,0,0,0
2021,CHN,W.P. Labuan,0,0,0
2021,CIV,Johor,0,0,0
2021,CIV,Kedah,0,0,0
2021,CIV,Pulau Pinang,0,0,0
2021,CIV,Sabah,0,0,0
2021,CIV,Sarawak,0,0,0
2021,CIV,Selangor,12,9,3
2021,CMR,Johor,0,0,0
2021,CMR,Kedah,0,0,0
2021,CMR,Pulau Pinang,0,0,0
2021,CMR,Sabah,0,0,0
2021,CMR,Sarawak,0,0,0
2021,CMR,Selangor,25,16,9
2021,COD,Johor,0,0,0
2021,COD,Pulau Pinang,0,0,0
2021,COD,Sarawak,0,0,0
2021,COD,Selangor,15,10,5
2021,COG,Johor,0,0,0
2021,COG,Kedah,0,0,0
2021,COG,Selangor,1,1,0
2021,COK,Selangor,0,0,0
2021,COL,Johor,0,0,0
2021,COL,Kedah,0,0,0
2021,COL,Perak,0,0,0
2021,COL,Pulau Pinang,1,0,1
2021,COL,Sabah,0,0,0
2021,COL,Sarawak,0,0,0
2021,COL,Selangor,75,38,37
2021,COL,W.P. Labuan,0,0,0
2021,COM,Johor,0,0,0
2021,COM,Kedah,0,0,0
2021,COM,Selangor,24,15,9
2021,CPV,Johor,0,0,0
2021,CPV,Kedah,0,0,0
2021,CPV,Pulau Pinang,0,0,0
2021,CPV,Sabah,0,0,0
2021,CPV,Selangor,0,0,0
2021,CRI,Johor,0,0,0
2021,CRI,Kedah,0,0,0
2021,CRI,Perak,0,0,0
2021,CRI,Perlis,0,0,0
2021,CRI,Pulau Pinang,0,0,0
2021,CRI,Sabah,0,0,0
2021,CRI,Sarawak,0,0,0
2021,CRI,Selangor,91,61,30
2021,CUB,Johor,0,0,0
2021,CUB,Kedah,0,0,0
2021,CUB,Perlis,0,0,0
2021,CUB,Pulau Pinang,0,0,0
2021,CUB,Sabah,0,0,0
2021,CUB,Sarawak,0,0,0
2021,CUB,Selangor,4,2,2
2021,CYP,Johor,0,0,0
2021,CYP,Kedah,0,0,0
2021,CYP,Perak,0,0,0
2021,CYP,Perlis,0,0,0
2021,CYP,Pulau Pinang,0,0,0
2021,CYP,Sabah,0,0,0
2021,CYP,Sarawak,0,0,0
2021,CYP,Selangor,8,6,2
2021,CZE,Johor,2,2,0
2021,CZE,Kedah,0,0,0
2021,CZE,Kelantan,0,0,0
2021,CZE,Melaka,0,0,0
2021,CZE,Negeri Sembilan,0,0,0
2021,CZE,Perak,0,0,0
2021,CZE,Perlis,0,0,0
2021,CZE,Pulau Pinang,0,0,0
2021,CZE,Sabah,0,0,0
2021,CZE,Sarawak,0,0,0
2021,CZE,Selangor,86,65,21
2021,CZE,W.P. Labuan,0,0,0
2021,DEU,Johor,9,9,0
2021,DEU,Kedah,8,5,3
2021,DEU,Kelantan,0,0,0
2021,DEU,Melaka,0,0,0
2021,DEU,Negeri Sembilan,0,0,0
2021,DEU,Pahang,0,0,0
2021,DEU,Perak,1,1,0
2021,DEU,Perlis,0,0,0
2021,DEU,Pulau Pinang,40,31,9
2021,DEU,Sabah,1,1,0
2021,DEU,Sarawak,13,11,2
2021,DEU,Selangor,1440,1126,314
2021,DEU,Terengganu,0,0,0
2021,DEU,W.P. Labuan,0,0,0
2021,DJI,Johor,0,0,0
2021,DJI,Selangor,51,20,31
2021,DMA,Johor,0,0,0
2021,DMA,Kedah,0,0,0
2021,DMA,Pulau Pinang,0,0,0
2021,DMA,Sabah,0,0,0
2021,DMA,Sarawak,0,0,0
2021,DMA,Selangor,20,14,6
2021,DMA,W.P. Labuan,0,0,0
2021,DNK,Johor,22,20,2
2021,DNK,Kedah,1,1,0
2021,DNK,Kelantan,0,0,0
2021,DNK,Melaka,0,0,0
2021,DNK,Negeri Sembilan,0,0,0
2021,DNK,Pahang,0,0,0
2021,DNK,Perak,0,0,0
2021,DNK,Perlis,0,0,0
2021,DNK,Pulau Pinang,14,12,2
2021,DNK,Sabah,0,0,0
2021,DNK,Sarawak,2,2,0
2021,DNK,Selangor,292,231,61
2021,DNK,W.P. Labuan,0,0,0
2021,DOM,Johor,0,0,0
2021,DOM,Kedah,0,0,0
2021,DOM,Perak,0,0,0
2021,DOM,Perlis,0,0,0
2021,DOM,Pulau Pinang,0,0,0
2021,DOM,Sabah,0,0,0
2021,DOM,Sarawak,0,0,0
2021,DOM,Selangor,1,1,0
2021,DZA,Johor,0,0,0
2021,DZA,Kedah,0,0,0
2021,DZA,Kelantan,0,0,0
2021,DZA,Melaka,0,0,0
2021,DZA,Perak,0,0,0
2021,DZA,Perlis,0,0,0
2021,DZA,Pulau Pinang,0,0,0
2021,DZA,Sabah,0,0,0
2021,DZA,Sarawak,0,0,0
2021,DZA,Selangor,158,103,55
2021,DZA,W.P. Labuan,0,0,0
2021,ECU,Johor,0,0,0
2021,ECU,Kedah,0,0,0
2021,ECU,Perak,0,0,0
2021,ECU,Perlis,0,0,0
2021,ECU,Pulau Pinang,0,0,0
2021,ECU,Sabah,0,0,0
2021,ECU,Sarawak,0,0,0
2021,ECU,Selangor,8,7,1
2021,EGY,Johor,1,1,0
2021,EGY,Kedah,0,0,0
2021,EGY,Kelantan,0,0,0
2021,EGY,Melaka,0,0,0
2021,EGY,Pahang,0,0,0
2021,EGY,Perak,0,0,0
2021,EGY,Perlis,0,0,0
2021,EGY,Pulau Pinang,0,0,0
2021,EGY,Sabah,1,1,0
2021,EGY,Sarawak,1,1,0
2021,EGY,Selangor,1286,972,314
2021,EGY,Terengganu,0,0,0
2021,EGY,W.P. Labuan,0,0,0
2021,ERI,Johor,0,0,0
2021,ERI,Pulau Pinang,0,0,0
2021,ERI,Sabah,0,0,0
2021,ERI,Selangor,14,8,6
2021,ESP,Johor,4,4,0
2021,ESP,Kedah,0,0,0
2021,ESP,Kelantan,0,0,0
2021,ESP,Melaka,0,0,0
2021,ESP,Negeri Sembilan,0,0,0
2021,ESP,Pahang,0,0,0
2021,ESP,Perak,0,0,0
2021,ESP,Perlis,0,0,0
2021,ESP,Pulau Pinang,3,2,1
2021,ESP,Sabah,1,1,0
2021,ESP,Sarawak,0,0,0
2021,ESP,Selangor,376,263,113
2021,ESP,W.P. Labuan,0,0,0
2021,EST,Johor,0,0,0
2021,EST,Kedah,1,1,0
2021,EST,Kelantan,0,0,0
2021,EST,Pahang,0,0,0
2021,EST,Perak,0,0,0
2021,EST,Perlis,0,0,0
2021,EST,Pulau Pinang,0,0,0
2021,EST,Sabah,0,0,0
2021,EST,Sarawak,0,0,0
2021,EST,Selangor,26,21,5
2021,EST,W.P. Labuan,0,0,0
2021,ETH,Johor,4,4,0
2021,ETH,Kedah,0,0,0
2021,ETH,Pulau Pinang,0,0,0
2021,ETH,Sarawak,1,0,1
2021,ETH,Selangor,46,25,21
2021,FIN,Johor,2,2,0
2021,FIN,Kedah,0,0,0
2021,FIN,Kelantan,0,0,0
2021,FIN,Melaka,0,0,0
2021,FIN,Negeri Sembilan,0,0,0
2021,FIN,Pahang,0,0,0
2021,FIN,Perak,0,0,0
2021,FIN,Perlis,0,0,0
2021,FIN,Pulau Pinang,1,1,0
2021,FIN,Sabah,0,0,0
2021,FIN,Sarawak,0,0,0
2021,FIN,Selangor,180,139,41
2021,FIN,W.P. Labuan,0,0,0
2021,FJI,Johor,0,0,0
2021,FJI,Kedah,0,0,0
2021,FJI,Kelantan,0,0,0
2021,FJI,Perak,0,0,0
2021,FJI,Perlis,0,0,0
2021,FJI,Pulau Pinang,0,0,0
2021,FJI,Sabah,0,0,0
2021,FJI,Sarawak,0,0,0
2021,FJI,Selangor,10,5,5
2021,FRA,Johor,8,8,0
2021,FRA,Kedah,3,2,1
2021,FRA,Kelantan,0,0,0
2021,FRA,Melaka,0,0,0
2021,FRA,Negeri Sembilan,0,0,0
2021,FRA,Pahang,0,0,0
2021,FRA,Perak,0,0,0
2021,FRA,Perlis,0,0,0
2021,FRA,Pulau Pinang,26,21,5
2021,FRA,Sabah,0,0,0
2021,FRA,Sarawak,9,9,0
2021,FRA,Selangor,1931,1321,610
2021,FRA,Terengganu,0,0,0
2021,FRA,W.P. Labuan,0,0,0
2021,FSM,Johor,0,0,0
2021,FSM,Pulau Pinang,0,0,0
2021,FSM,Selangor,0,0,0
2021,GAB,Johor,0,0,0
2021,GAB,Pulau Pinang,0,0,0
2021,GAB,Sarawak,0,0,0
2021,GAB,Selangor,8,7,1
2021,GBR,Johor,52,48,4
2021,GBR,Kedah,20,12,8
2021,GBR,Kelantan,0,0,0
2021,GBR,Melaka,0,0,0
2021,GBR,Negeri Sembilan,0,0,0
2021,GBR,Pahang,0,0,0
2021,GBR,Perak,4,0,4
2021,GBR,Perlis,0,0,0
2021,GBR,Pulau Pinang,118,69,49
2021,GBR,Sabah,4,2,2
2021,GBR,Sarawak,28,23,5
2021,GBR,Selangor,4781,3404,1377
2021,GBR,Terengganu,0,0,0
2021,GBR,W.P. Labuan,0,0,0
2021,GEO,Johor,3,3,0
2021,GEO,Kedah,0,0,0
2021,GEO,Melaka,0,0,0
2021,GEO,Perak,0,0,0
2021,GEO,Perlis,0,0,0
2021,GEO,Pulau Pinang,0,0,0
2021,GEO,Sabah,0,0,0
2021,GEO,Sarawak,0,0,0
2021,GEO,Selangor,42,39,3
2021,GHA,Johor,1,1,0
2021,GHA,Kedah,0,0,0
2021,GHA,Kelantan,0,0,0
2021,GHA,Pulau Pinang,0,0,0
2021,GHA,Sabah,1,1,0
2021,GHA,Sarawak,0,0,0
2021,GHA,Selangor,82,61,21
2021,GIB,Johor,0,0,0
2021,GIB,Sarawak,0,0,0
2021,GIN,Johor,0,0,0
2021,GIN,Kedah,0,0,0
2021,GIN,Kelantan,0,0,0
2021,GIN,Perlis,0,0,0
2021,GIN,Pulau Pinang,0,0,0
2021,GIN,Sabah,0,0,0
2021,GIN,Sarawak,0,0,0
2021,GIN,Selangor,94,53,41
2021,GLP,Selangor,0,0,0
2021,GMB,Johor,0,0,0
2021,GMB,Kedah,0,0,0
2021,GMB,Kelantan,0,0,0
2021,GMB,Pulau Pinang,0,0,0
2021,GMB,Sabah,0,0,0
2021,GMB,Sarawak,0,0,0
2021,GMB,Selangor,19,13,6
2021,GNB,Johor,0,0,0
2021,GNB,Selangor,0,0,0
2021,GNQ,Johor,0,0,0
2021,GNQ,Selangor,12,7,5
2021,GRC,Johor,9,8,1
2021,GRC,Kedah,0,0,0
2021,GRC,Kelantan,0,0,0
2021,GRC,Melaka,0,0,0
2021,GRC,Negeri Sembilan,0,0,0
2021,GRC,Pahang,0,0,0
2021,GRC,Perak,0,0,0
2021,GRC,Perlis,0,0,0
2021,GRC,Pulau Pinang,0,0,0
2021,GRC,Sabah,0,0,0
2021,GRC,Sarawak,0,0,0
2021,GRC,Selangor,99,89,10
2021,GRD,Johor,0,0,0
2021,GRD,Kedah,0,0,0
2021,GRD,Pulau Pinang,0,0,0
2021,GRD,Sabah,0,0,0
2021,GRD,Sarawak,0,0,0
2021,GRD,Selangor,4,2,2
2021,GRL,Johor,0,0,0
2021,GRL,Selangor,0,0,0
2021,GTM,Johor,0,0,0
2021,GTM,Kedah,0,0,0
2021,GTM,Pahang,0,0,0
2021,GTM,Perak,0,0,0
2021,GTM,Pulau Pinang,0,0,0
2021,GTM,Sabah,0,0,0
2021,GTM,Sarawak,0,0,0
2021,GTM,Selangor,3,3,0
2021,GTM,W.P. Labuan,0,0,0
2021,GUY,Johor,0,0,0
2021,GUY,Kedah,0,0,0
2021,GUY,Pulau Pinang,0,0,0
2021,GUY,Sarawak,0,0,0
2021,GUY,Selangor,0,0,0
2021,HKG,Johor,0,0,0
2021,HKG,Kedah,0,0,0
2021,HKG,Kelantan,0,0,0
2021,HKG,Pahang,0,0,0
2021,HKG,Perak,1,0,1
2021,HKG,Perlis,0,0,0
2021,HKG,Pulau Pinang,29,16,13
2021,HKG,Sabah,0,0,0
2021,HKG,Sarawak,129,117,12
2021,HKG,Selangor,15,14,1
2021,HKG,Terengganu,0,0,0
2021,HMD,Johor,0,0,0
2021,HND,Johor,0,0,0
2021,HND,Kedah,0,0,0
2021,HND,Perak,0,0,0
2021,HND,Pulau Pinang,0,0,0
2021,HND,Sabah,0,0,0
2021,HND,Sarawak,0,0,0
2021,HND,Selangor,13,11,2
2021,HRV,Johor,20,20,0
2021,HRV,Kedah,0,0,0
2021,HRV,Kelantan,0,0,0
2021,HRV,Melaka,0,0,0
2021,HRV,Pahang,0,0,0
2021,HRV,Perak,0,0,0
2021,HRV,Perlis,0,0,0
2021,HRV,Pulau Pinang,0,0,0
2021,HRV,Sabah,2,2,0
2021,HRV,Sarawak,1,1,0
2021,HRV,Selangor,318,302,16
2021,HTI,Johor,0,0,0
2021,HTI,Kedah,0,0,0
2021,HTI,Kelantan,0,0,0
2021,HTI,Perak,0,0,0
2021,HTI,Pulau Pinang,0,0,0
2021,HTI,Sabah,0,0,0
2021,HTI,Selangor,1,1,0
2021,HUN,Johor,0,0,0
2021,HUN,Kedah,0,0,0
2021,HUN,Kelantan,0,0,0
2021,HUN,Pahang,0,0,0
2021,HUN,Perak,0,0,0
2021,HUN,Perlis,0,0,0
2021,HUN,Pulau Pinang,2,0,2
2021,HUN,Sabah,0,0,0
2021,HUN,Sarawak,0,0,0
2021,HUN,Selangor,92,56,36
2021,HUN,W.P. Labuan,0,0,0
2021,IDN,Johor,1959,1444,515
2021,IDN,Kedah,72,63,9
2021,IDN,Kelantan,0,0,0
2021,IDN,Melaka,4,1,3
2021,IDN,Negeri Sembilan,0,0,0
2021,IDN,Pahang,1,1,0
2021,IDN,Perak,2,0,2
2021,IDN,Perlis,62,61,1
2021,IDN,Pulau Pinang,265,99,166
2021,IDN,Sabah,37,15,22
2021,IDN,Sarawak,3437,3380,57
2021,IDN,Selangor,14181,7979,6202
2021,IDN,Terengganu,5,5,0
2021,IDN,W.P. Labuan,23,21,2
2021,IND,Johor,432,424,8
2021,IND,Kedah,1,1,0
2021,IND,Kelantan,0,0,0
2021,IND,Melaka,0,0,0
2021,IND,Negeri Sembilan,0,0,0
2021,IND,Pahang,2,2,0
2021,IND,Perak,0,0,0
2021,IND,Perlis,0,0,0
2021,IND,Pulau Pinang,25,20,5
2021,IND,Sabah,8,7,1
2021,IND,Sarawak,7,7,0
2021,IND,Selangor,14010,10420,3590
2021,IND,Terengganu,0,0,0
2021,IND,W.P. Labuan,0,0,0
2021,IOT,Pulau Pinang,0,0,0
2021,IOT,Selangor,0,0,0
2021,IRL,Johor,1,1,0
2021,IRL,Kedah,0,0,0
2021,IRL,Kelantan,0,0,0
2021,IRL,Negeri Sembilan,0,0,0
2021,IRL,Pahang,0,0,0
2021,IRL,Perak,0,0,0
2021,IRL,Perlis,0,0,0
2021,IRL,Pulau Pinang,2,2,0
2021,IRL,Sabah,0,0,0
2021,IRL,Sarawak,1,1,0
2021,IRL,Selangor,242,159,83
2021,IRL,Terengganu,0,0,0
2021,IRL,W.P. Labuan,0,0,0
2021,IRN,Johor,3,3,0
2021,IRN,Kedah,0,0,0
2021,IRN,Kelantan,0,0,0
2021,IRN,Perak,0,0,0
2021,IRN,Perlis,0,0,0
2021,IRN,Pulau Pinang,1,0,1
2021,IRN,Sabah,0,0,0
2021,IRN,Sarawak,0,0,0
2021,IRN,Selangor,755,481,274
2021,IRN,W.P. Labuan,0,0,0
2021,IRQ,Johor,0,0,0
2021,IRQ,Kedah,0,0,0
2021,IRQ,Kelantan,0,0,0
2021,IRQ,Melaka,0,0,0
2021,IRQ,Pahang,0,0,0
2021,IRQ,Perak,0,0,0
2021,IRQ,Perlis,0,0,0
2021,IRQ,Pulau Pinang,0,0,0
2021,IRQ,Sabah,0,0,0
2021,IRQ,Sarawak,0,0,0
2021,IRQ,Selangor,702,479,223
2021,ISL,Johor,0,0,0
2021,ISL,Kedah,0,0,0
2021,ISL,Kelantan,0,0,0
2021,ISL,Perak,0,0,0
2021,ISL,Perlis,0,0,0
2021,ISL,Pulau Pinang,0,0,0
2021,ISL,Sabah,0,0,0
2021,ISL,Sarawak,0,0,0
2021,ISL,Selangor,4,3,1
2021,ISL,W.P. Labuan,0,0,0
2021,ISR,Pulau Pinang,0,0,0
2021,ITA,Johor,1,1,0
2021,ITA,Kedah,6,5,1
2021,ITA,Kelantan,0,0,0
2021,ITA,Melaka,0,0,0
2021,ITA,Negeri Sembilan,0,0,0
2021,ITA,Pahang,0,0,0
2021,ITA,Perak,0,0,0
2021,ITA,Perlis,0,0,0
2021,ITA,Pulau Pinang,6,6,0
2021,ITA,Sabah,1,1,0
2021,ITA,Sarawak,5,5,0
2021,ITA,Selangor,675,542,133
2021,ITA,W.P. Labuan,0,0,0
2021,JAM,Johor,0,0,0
2021,JAM,Kedah,0,0,0
2021,JAM,Perak,0,0,0
2021,JAM,Pulau Pinang,0,0,0
2021,JAM,Sabah,0,0,0
2021,JAM,Sarawak,0,0,0
2021,JAM,Selangor,6,3,3
2021,JAM,W.P. Labuan,0,0,0
2021,JOR,Johor,0,0,0
2021,JOR,Kedah,0,0,0
2021,JOR,Kelantan,0,0,0
2021,JOR,Melaka,0,0,0
2021,JOR,Perlis,0,0,0
2021,JOR,Pulau Pinang,0,0,0
2021,JOR,Sabah,0,0,0
2021,JOR,Sarawak,1,1,0
2021,JOR,Selangor,422,322,100
2021,JOR,W.P. Labuan,0,0,0
2021,JPN,Johor,14,12,2
2021,JPN,Kedah,7,1,6
2021,JPN,Kelantan,0,0,0
2021,JPN,Melaka,0,0,0
2021,JPN,Negeri Sembilan,0,0,0
2021,JPN,Pahang,0,0,0
2021,JPN,Perak,6,4,2
2021,JPN,Perlis,0,0,0
2021,JPN,Pulau Pinang,370,244,126
2021,JPN,Sabah,5,2,3
2021,JPN,Sarawak,58,54,4
2021,JPN,Selangor,6357,4151,2206
2021,JPN,W.P. Labuan,0,0,0
2021,KAZ,Johor,0,0,0
2021,KAZ,Kedah,0,0,0
2021,KAZ,Kelantan,0,0,0
2021,KAZ,Melaka,0,0,0
2021,KAZ,Perak,0,0,0
2021,KAZ,Perlis,0,0,0
2021,KAZ,Pulau Pinang,0,0,0
2021,KAZ,Sabah,0,0,0
2021,KAZ,Sarawak,0,0,0
2021,KAZ,Selangor,242,122,120
2021,KAZ,W.P. Labuan,0,0,0
2021,KEN,Johor,0,0,0
2021,KEN,Kedah,0,0,0
2021,KEN,Kelantan,0,0,0
2021,KEN,Perak,0,0,0
2021,KEN,Perlis,0,0,0
2021,KEN,Pulau Pinang,0,0,0
