country,arrivals
RUS,281242
KHM,210154
CAN,192117
NLD,174610
SAU,151906
LKA,138706
ITA,123871
NZL,113255
ESP,105701
MDV,80329
POL,61737
EGY,61353
IRN,61065
CHE,60473
LAO,55101
SWE,53494
IRL,51700
TUR,50414
DNK,47641
BEL,47579
